Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKNIFTY,EQ,26-May-2022,169.97,171,171.4,168.35,171.37,171.02,170.16,41594,"70,77,450.11",497,19515,46.92
KOTAKNIFTY,EQ,27-May-2022,171.02,170.41,174.49,170.41,172.95,172.54,172.58,19106,"32,97,290.86",310,11201,58.63
KOTAKNIFTY,EQ,30-May-2022,172.54,172.8,175.7,172.8,175.02,175.15,174.63,"1,11,370","1,94,48,711.45",866,89692,80.54
KOTAKNIFTY,EQ,31-May-2022,175.15,176.89,176.89,174.28,175.39,175.11,175.08,46958,"82,21,328.97",411,6829,14.54
KOTAKNIFTY,EQ,01-Jun-2022,175.11,177.18,177.18,173.9,174.94,174.85,175.27,72766,"1,27,53,661.53",396,65544,90.08
KOTAKNIFTY,EQ,02-Jun-2022,174.85,171.35,175.88,171.35,175.4,175.42,175.04,8231,"14,40,792.54",261,5539,67.29
KOTAKNIFTY,EQ,03-Jun-2022,175.42,177.95,178.25,175.02,176,175.46,176.6,31338,"55,34,402.74",504,16814,53.65
KOTAKNIFTY,EQ,06-Jun-2022,175.46,177.9,179.01,174.01,175.76,175.63,174.96,17465,"30,55,656.94",558,8026,45.95
KOTAKNIFTY,EQ,07-Jun-2022,175.63,178.5,178.5,173.31,174.15,174.4,174.07,19752,"34,38,301.95",445,13764,69.68
KOTAKNIFTY,EQ,08-Jun-2022,174.4,179.7,179.7,173.1,173.17,173.23,174.14,28822,"50,19,144.28",400,21294,73.88
KOTAKNIFTY,EQ,09-Jun-2022,173.23,188.8,188.8,172.51,174.17,174.32,173.51,7037,"12,20,960.94",327,3624,51.5
KOTAKNIFTY,EQ,10-Jun-2022,174.32,174.29,174.29,172,172.29,172.35,172.88,33593,"58,07,461.32",511,31628,94.15
KOTAKNIFTY,EQ,13-Jun-2022,172.35,171,171.28,167,169.5,168.52,168.28,"1,22,864","2,06,75,040.68",1405,"1,00,125",81.49
KOTAKNIFTY,EQ,14-Jun-2022,168.52,169.78,169.78,167,167.52,167.49,168.1,77589,"1,30,42,664.94",542,50651,65.28
KOTAKNIFTY,EQ,15-Jun-2022,167.49,165,169.48,165,167.35,167.44,167.54,16359,"27,40,837.94",378,11968,73.16
KOTAKNIFTY,EQ,16-Jun-2022,167.44,169.98,169.98,163.01,163.5,163.63,165.25,"6,95,853","11,49,91,158.74",2333,"6,67,510",95.93
KOTAKNIFTY,EQ,17-Jun-2022,163.63,163,164.3,161.63,163.84,163.4,162.94,60465,"98,52,218.61",773,34314,56.75
KOTAKNIFTY,EQ,20-Jun-2022,163.4,164.4,164.98,162.09,163.25,163.63,163.16,31729,"51,76,903.89",536,25250,79.58
KOTAKNIFTY,EQ,21-Jun-2022,163.63,165,167.1,163.85,166.53,166.44,166.08,12668,"21,03,912.31",386,10288,81.21
KOTAKNIFTY,EQ,22-Jun-2022,166.44,166.53,166.53,163.81,164.34,164.36,164.39,37887,"62,28,240.43",405,32205,85
KOTAKNIFTY,EQ,23-Jun-2022,164.36,164.35,166.23,163,165.5,165.27,164.77,31755,"52,32,360.61",469,20251,63.77
KOTAKNIFTY,EQ,24-Jun-2022,165.27,164.55,167.3,164.55,167,166.94,166.32,23295,"38,74,524.99",292,14808,63.57
KOTAKNIFTY,EQ,27-Jun-2022,166.94,169.6,169.6,167.01,168,168.11,168.48,20272,"34,15,453.54",424,11198,55.24
KOTAKNIFTY,EQ,28-Jun-2022,168.11,167.7,168.55,167,168.55,167.87,167.72,28396,"47,62,481.31",280,12445,43.83
KOTAKNIFTY,EQ,29-Jun-2022,167.87,167.79,168.2,166.11,167.71,167.51,167.14,18879,"31,55,480.47",312,10507,55.65
KOTAKNIFTY,EQ,30-Jun-2022,167.51,166.95,170,166.95,167.4,167.54,167.75,24840,"41,66,917.03",314,20355,81.94
KOTAKNIFTY,EQ,01-Jul-2022,167.54,168.6,168.6,165.05,168.05,168,166.4,25963,"43,20,177.10",503,20100,77.42
KOTAKNIFTY,EQ,04-Jul-2022,168,183.1,183.1,165,168.45,168.16,167.23,31165,"52,11,759.91",453,7207,23.13
KOTAKNIFTY,EQ,05-Jul-2022,168.16,168.52,170.2,167.71,168.03,168.07,169.22,38182,"64,61,069.40",456,20795,54.46
KOTAKNIFTY,EQ,06-Jul-2022,168.07,172.9,172.9,167.65,169.67,169.65,168.77,22904,"38,65,619.00",357,8435,36.83
KOTAKNIFTY,EQ,07-Jul-2022,169.65,170.68,171.62,169.82,171.34,171.26,170.4,"1,55,110","2,64,29,971.41",470,14916,9.62
KOTAKNIFTY,EQ,08-Jul-2022,171.26,196.9,196.9,171,172.01,171.85,171.81,14926,"25,64,465.20",277,7966,53.37
KOTAKNIFTY,EQ,11-Jul-2022,171.85,171,172.2,168.45,171.99,171.66,171.26,36731,"62,90,728.62",456,16809,45.76
KOTAKNIFTY,EQ,12-Jul-2022,171.66,171.3,171.61,170,170.56,170.64,171.01,17477,"29,88,688.67",315,13750,78.67
KOTAKNIFTY,EQ,13-Jul-2022,170.64,170.95,171.25,169.35,170.07,169.9,170.39,7142,"12,16,933.91",249,4181,58.54
KOTAKNIFTY,EQ,14-Jul-2022,169.9,170.17,170.89,168.6,169,169.15,169.38,27840,"47,15,516.82",382,11252,40.42
KOTAKNIFTY,EQ,15-Jul-2022,169.15,168.95,171,168.95,170.79,170.42,169.78,15747,"26,73,447.34",348,8690,55.19
KOTAKNIFTY,EQ,18-Jul-2022,170.42,172,173.31,171.17,173.3,173.19,172.43,83619,"1,44,18,359.02",600,67652,80.91
KOTAKNIFTY,EQ,19-Jul-2022,173.19,173.3,175,171.66,173.6,173.57,173.03,16170,"27,97,966.20",242,11393,70.46
KOTAKNIFTY,EQ,20-Jul-2022,173.57,174.95,176.44,174.65,174.7,174.84,175.21,35492,"62,18,527.28",343,30951,87.21
KOTAKNIFTY,EQ,21-Jul-2022,174.84,175.75,177.9,173.71,176.25,175.96,175.81,51955,"91,34,083.32",365,47622,91.66
KOTAKNIFTY,EQ,22-Jul-2022,175.96,176.5,177.5,176.22,177.15,177.12,176.99,70918,"1,25,51,696.46",421,54257,76.51
KOTAKNIFTY,EQ,25-Jul-2022,177.12,177.12,177.8,175,175.86,176.26,176.37,79161,"1,39,61,691.66",448,35707,45.11
KOTAKNIFTY,EQ,26-Jul-2022,176.26,176.25,176.36,174.75,175.64,175.62,175.91,59159,"1,04,06,687.30",361,54835,92.69
KOTAKNIFTY,EQ,27-Jul-2022,175.62,175.56,176.65,174.61,176.35,176.31,175.6,12143,"21,32,337.01",276,6075,50.03
KOTAKNIFTY,EQ,28-Jul-2022,176.31,177.9,180.56,177.34,179.56,179.68,179.51,84466,"1,51,62,438.67",1037,57903,68.55
KOTAKNIFTY,EQ,29-Jul-2022,179.68,179.59,182.5,179.59,181.42,181.77,181.41,81455,"1,47,76,566.37",534,20565,25.25
KOTAKNIFTY,EQ,01-Aug-2022,181.77,182.7,183.8,180.68,183.79,183.67,182.88,29884,"54,65,284.05",512,18049,60.4
KOTAKNIFTY,EQ,02-Aug-2022,183.67,184.95,188.85,182.01,183.91,183.87,183.44,73641,"1,35,08,556.81",485,55303,75.1
KOTAKNIFTY,EQ,03-Aug-2022,183.87,184.95,184.95,182.5,184.5,183.92,183.44,33912,"62,20,980.03",453,22324,65.83
KOTAKNIFTY,EQ,04-Aug-2022,183.92,184.52,185,181.74,184.31,183.82,184.09,"1,18,534","2,18,21,054.29",484,69648,58.76
KOTAKNIFTY,EQ,05-Aug-2022,183.82,183.82,185,183.73,184,184.23,184.46,31404,"57,92,629.27",363,23999,76.42
KOTAKNIFTY,EQ,08-Aug-2022,184.23,184.85,185.99,183.09,185.46,185.54,185.18,72335,"1,33,94,892.08",477,48015,66.38
KOTAKNIFTY,EQ,10-Aug-2022,185.54,183.58,187.68,183.58,185.94,185.73,185.81,44122,"81,98,139.55",454,35900,81.37
KOTAKNIFTY,EQ,11-Aug-2022,185.73,187.09,188.25,186.25,187.6,187.53,187.64,69531,"1,30,46,723.10",465,41304,59.4
KOTAKNIFTY,EQ,12-Aug-2022,187.53,187.53,189.63,185.65,187.5,187.15,187.22,35532,"66,52,324.59",303,19509,54.91
KOTAKNIFTY,EQ,16-Aug-2022,187.15,187.15,190.9,187.15,189.3,189.25,189.33,59346,"1,12,36,009.21",667,31723,53.45
KOTAKNIFTY,EQ,17-Aug-2022,189.25,189.19,190.6,189.19,190.25,190.46,190.12,68642,"1,30,50,480.35",404,58297,84.93
KOTAKNIFTY,EQ,18-Aug-2022,190.46,190.9,190.98,189.38,190.7,190.59,190.13,25056,"47,63,861.84",465,15820,63.14
KOTAKNIFTY,EQ,19-Aug-2022,190.59,189.05,191.3,187.67,188.11,188.5,188.08,"18,28,142","34,38,38,692.00",1455,"17,03,727",93.19
KOTAKNIFTY,EQ,22-Aug-2022,188.5,189.45,189.45,185.5,185.96,185.91,186.45,"10,87,695","20,28,00,190.31",1181,"9,98,376",91.79
KOTAKNIFTY,EQ,23-Aug-2022,185.91,185.96,187.42,184.52,186.88,186.72,186.56,"1,96,835","3,67,21,345.13",454,"1,77,836",90.35
KOTAKNIFTY,EQ,24-Aug-2022,186.72,185.2,187.85,184.73,187.29,187.04,186.91,16032,"29,96,465.28",330,10156,63.35
KOTAKNIFTY,EQ,25-Aug-2022,187.04,188,189.2,186,186,186.85,188.09,12788,"24,05,348.50",368,8618,67.39
KOTAKNIFTY,EQ,26-Aug-2022,186.85,187.2,188.42,186.61,187.5,187.28,187.7,10366,"19,45,748.11",264,7862,75.84
KOTAKNIFTY,EQ,29-Aug-2022,187.28,185,186,183.2,184.85,184.72,184.28,38977,"71,82,583.86",674,28532,73.2
KOTAKNIFTY,EQ,30-Aug-2022,184.72,185,190.5,185,189.98,190.05,189.9,"4,70,392","8,93,27,142.89",548,"2,58,278",54.91
KOTAKNIFTY,EQ,01-Sep-2022,190.05,188.8,189.69,185,186.98,186.63,186.07,"2,63,589","4,90,46,465.18",936,"1,53,205",58.12
KOTAKNIFTY,EQ,02-Sep-2022,186.63,187.89,188.2,186,186.71,186.66,186.78,17302,"32,31,673.32",317,11767,68.01
KOTAKNIFTY,EQ,05-Sep-2022,186.66,187.2,187.99,186.71,187.97,187.9,187.5,17250,"32,34,351.58",361,10185,59.04
KOTAKNIFTY,EQ,06-Sep-2022,187.9,188.3,188.77,186.91,187.96,187.92,187.81,"2,47,259","4,64,38,821.30",436,"2,07,558",83.94
KOTAKNIFTY,EQ,07-Sep-2022,187.92,186.99,187.89,186.5,187.35,187.43,187.13,49646,"92,90,191.51",289,43284,87.19
KOTAKNIFTY,EQ,08-Sep-2022,187.43,192.91,192.91,187.46,188.89,189.3,188.98,36593,"69,15,208.65",327,23853,65.18
KOTAKNIFTY,EQ,09-Sep-2022,189.3,193.8,193.8,188.99,189.78,189.69,189.89,17634,"33,48,573.51",388,12835,72.79
KOTAKNIFTY,EQ,12-Sep-2022,189.69,190.89,191.25,189.72,190.85,190.82,190.84,17146,"32,72,078.67",459,13861,80.84
KOTAKNIFTY,EQ,13-Sep-2022,190.82,190.86,192.2,190.86,192.12,192,191.65,40357,"77,34,321.89",388,32539,80.63
KOTAKNIFTY,EQ,14-Sep-2022,192,190.49,192.3,189.69,190.85,191.15,190.76,53681,"1,02,40,294.59",572,26787,49.9
KOTAKNIFTY,EQ,15-Sep-2022,191.15,193.9,193.9,190.11,190.45,190.42,190.89,18029,"34,41,608.30",450,12621,70
KOTAKNIFTY,EQ,16-Sep-2022,190.42,190,190.5,186.75,187.39,187.1,188.13,79772,"1,50,07,129.29",852,33955,42.57
KOTAKNIFTY,EQ,19-Sep-2022,187.1,187.39,188.31,186,188.19,187.83,187.5,23098,"43,30,849.73",562,14458,62.59
KOTAKNIFTY,EQ,20-Sep-2022,187.83,190.99,192,188.77,189.35,189.62,190.2,29351,"55,82,523.09",424,15990,54.48
KOTAKNIFTY,EQ,21-Sep-2022,189.62,187.51,190.02,187.51,188.63,188.88,189.11,22918,"43,34,111.02",305,13990,61.04
KOTAKNIFTY,EQ,22-Sep-2022,188.88,187.79,189,187.13,188.28,188.17,187.88,15952,"29,97,052.74",420,11141,69.84
KOTAKNIFTY,EQ,23-Sep-2022,188.17,188.17,188.17,184,184.66,184.73,185.58,78802,"1,46,24,327.40",1026,55333,70.22
KOTAKNIFTY,EQ,26-Sep-2022,184.73,184.66,184.66,181.41,182,181.96,182.3,82317,"1,50,06,106.61",1048,54165,65.8
KOTAKNIFTY,EQ,27-Sep-2022,181.96,185.59,185.59,181.02,182,181.75,181.8,"1,57,370","2,86,09,108.12",708,"1,47,994",94.04
KOTAKNIFTY,EQ,28-Sep-2022,181.75,181.64,182.3,179.65,179.65,180.11,180.67,45657,"82,48,881.54",652,35132,76.95
KOTAKNIFTY,EQ,29-Sep-2022,180.11,185.6,195.39,179.05,179.07,181.2,181.33,55894,"1,01,35,047.87",848,25883,46.31
KOTAKNIFTY,EQ,30-Sep-2022,181.2,181.6,183.41,178.8,182.56,182.47,179.83,"1,24,049","2,23,07,258.30",680,87703,70.7
KOTAKNIFTY,EQ,03-Oct-2022,182.47,186,193.4,179.71,180.35,180.35,180.77,97312,"1,75,91,427.39",698,28342,29.12
KOTAKNIFTY,EQ,04-Oct-2022,180.35,184.9,184.9,182.14,183.43,183.34,183.31,42786,"78,43,142.23",486,34573,80.8
KOTAKNIFTY,EQ,06-Oct-2022,183.34,187.79,187.79,183.4,184.46,184.11,184.55,18643,"34,40,533.21",438,13955,74.85
KOTAKNIFTY,EQ,07-Oct-2022,184.11,183.57,184.75,183.34,183.66,183.92,183.75,26163,"48,07,499.46",308,21219,81.1
KOTAKNIFTY,EQ,10-Oct-2022,183.92,183.09,184.08,181.6,183.6,183.65,182.8,18965,"34,66,789.83",574,11544,60.87
KOTAKNIFTY,EQ,11-Oct-2022,183.65,183.65,183.65,181.06,181.52,181.42,181.94,55307,"1,00,62,541.62",499,44334,80.16
KOTAKNIFTY,EQ,12-Oct-2022,181.42,192.3,192.3,180.59,181.87,182.03,181.35,75781,"1,37,42,587.95",501,32064,42.31
KOTAKNIFTY,EQ,13-Oct-2022,182.03,182.03,182.45,180.25,181,181.61,181.26,39871,"72,26,886.71",541,30474,76.43
KOTAKNIFTY,EQ,14-Oct-2022,181.61,183.01,184.94,182.75,183.35,183.09,183.84,53893,"99,07,910.12",399,35435,65.75
KOTAKNIFTY,EQ,17-Oct-2022,183.09,183.84,184.51,182.21,184.35,183.81,183.77,48131,"88,45,029.38",546,17636,36.64
KOTAKNIFTY,EQ,18-Oct-2022,183.81,187,194.18,184.13,186.8,186.46,186.52,"1,26,765","2,36,43,980.30",475,"1,04,214",82.21
KOTAKNIFTY,EQ,19-Oct-2022,186.46,193.69,193.69,186.1,186.7,186.3,186.7,12078,"22,54,992.70",268,8469,70.12
KOTAKNIFTY,EQ,20-Oct-2022,186.3,186.45,187,185.29,186.51,186.72,186.3,12046,"22,44,145.44",337,6817,56.59
KOTAKNIFTY,EQ,21-Oct-2022,186.72,187.69,188.21,186.83,186.83,187.28,187.49,53998,"1,01,24,200.29",438,29784,55.16
KOTAKNIFTY,EQ,24-Oct-2022,187.28,194.18,194.18,187.28,189.75,189.1,189.47,15473,"29,31,706.56",443,12717,82.19
KOTAKNIFTY,EQ,25-Oct-2022,189.1,189.5,189.95,187.86,189.07,188.95,188.93,30036,"56,74,808.48",491,24135,80.35
KOTAKNIFTY,EQ,27-Oct-2022,188.95,189.56,189.89,188.5,188.79,188.81,189.05,19773,"37,38,011.08",364,12653,63.99
KOTAKNIFTY,EQ,28-Oct-2022,188.81,194.18,194.18,188.51,189.49,189.13,189.22,29529,"55,87,370.31",364,21234,71.91
KOTAKNIFTY,EQ,31-Oct-2022,189.13,192.48,192.48,190.02,191.22,191.31,190.89,85723,"1,63,63,368.33",528,63108,73.62
KOTAKNIFTY,EQ,01-Nov-2022,191.31,191.99,193.39,191.73,192.94,193.03,192.61,"1,53,555","2,95,76,349.32",612,"1,16,319",75.75
KOTAKNIFTY,EQ,02-Nov-2022,193.03,193.03,193.29,191.96,191.96,192.34,192.57,14493,"27,90,971.21",323,9841,67.9
KOTAKNIFTY,EQ,03-Nov-2022,192.34,192.34,192.69,191.51,192.36,192.25,191.97,11847,"22,74,326.51",307,5652,47.71
KOTAKNIFTY,EQ,04-Nov-2022,192.25,192.26,192.99,191.71,192.7,192.51,192.05,25538,"49,04,488.94",274,19201,75.19
KOTAKNIFTY,EQ,07-Nov-2022,192.51,192.51,193.97,192.36,193.92,193.69,193.31,64505,"1,24,69,777.34",443,44320,68.71
KOTAKNIFTY,EQ,09-Nov-2022,193.69,194.67,212.1,192.99,193.01,193.23,193.71,34251,"66,34,929.55",461,23076,67.37
KOTAKNIFTY,EQ,10-Nov-2022,193.23,210.6,210.6,191.41,191.92,191.87,191.83,28630,"54,92,027.67",487,20801,72.65
KOTAKNIFTY,EQ,11-Nov-2022,191.87,193.11,195.34,193.11,195.2,195.25,194.91,26294,"51,24,943.89",381,21468,81.65
KOTAKNIFTY,EQ,14-Nov-2022,195.25,212.8,212.8,194.91,194.92,195.07,195.32,38659,"75,50,802.80",406,35243,91.16
KOTAKNIFTY,EQ,15-Nov-2022,195.07,195.49,196,194.57,196,195.71,194.93,51222,"99,84,917.64",451,32363,63.18
KOTAKNIFTY,EQ,16-Nov-2022,195.71,195.72,196.55,195.11,196,195.97,195.81,30977,"60,65,611.84",302,19661,63.47
KOTAKNIFTY,EQ,17-Nov-2022,195.97,195.8,196.13,194.8,194.8,195.3,195.78,18255,"35,74,049.21",339,15082,82.62
KOTAKNIFTY,EQ,18-Nov-2022,195.3,196.99,196.99,193.91,194.68,194.67,194.64,14372,"27,97,377.98",309,9696,67.46
KOTAKNIFTY,EQ,21-Nov-2022,194.67,212.2,212.2,193,193.8,193.35,193.43,19449,"37,61,930.21",393,13887,71.4
KOTAKNIFTY,EQ,22-Nov-2022,193.35,194.94,194.94,193.27,194.3,194.16,193.88,6592,"12,78,033.03",199,4152,62.99
